2017-11-07 09:53:54,757 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-08 09:23:55,575 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-11-14 14:12:35,179 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-14 14:16:52,960 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-14 14:21:55,459 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-14 14:23:16,490 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Assingment4:Assingment4:0.0.1-SNAPSHOT @ /home/heikkil/nackademin/Assingment4/Assingment4/pom.xml.
2017-11-14 14:23:17,579 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 14:23:17,582 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/heikkil/nackademin/Assingment4/Assingment4/src/main/resources
2017-11-14 14:23:17,584 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 14:23:17,585 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/heikkil/nackademin/Assingment4/Assingment4/src/test/resources
2017-11-14 14:23:17,869 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Assingment4/src
2017-11-14 14:23:17,883 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Assingment4/src/test/java because it overlaps with /Assingment4/src
2017-11-14 14:23:18,103 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-11-14 14:23:19,351 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Assingment4:Assingment4:0.0.1-SNAPSHOT @ /home/heikkil/nackademin/Assingment4/Assingment4/pom.xml.
2017-11-14 14:23:21,007 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Assingment4/src
2017-11-14 14:23:21,010 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Assingment4/src/test/java because it overlaps with /Assingment4/src
2017-11-14 14:23:21,629 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2017-11-14 14:23:21,977 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 14:23:21,987 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/heikkil/nackademin/Assingment4/Assingment4/src/main/resources
2017-11-14 14:23:21,991 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-14 14:23:21,991 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/heikkil/nackademin/Assingment4/Assingment4/src/test/resources
